Model,Accuracy,Precision,Recall,F1
SVM,0.9259259259259259,0.9262696396201898,0.9259259259259259,0.9255835121039688
Random Forest,0.9234567901234568,0.9237712038881629,0.9234567901234568,0.9231383572526257
Gradient Boosting,0.9135802469135802,0.9134811545762095,0.9135802469135802,0.9131159445907194
Logistic Regression,0.9111111111111111,0.9114414594452102,0.9111111111111111,0.9110370099357491
KNN,0.908641975308642,0.9108922622546962,0.908641975308642,0.9073732869220319
Decision Tree,0.8493827160493828,0.8502805374436863,0.8493827160493828,0.8496452011664994
